multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
1.0,1.0,1.0,0.5607412107148364,0.7228827510517651,0.538948923157817,0.3131516370952991,0.26098191214470284,0.48517520215633425,0.8706896551724138,3,class_weight_dissatisfied_3_neutral_2
2.5,1.0,1.0,0.5588223134680884,0.6981891348088531,0.5884769684123068,0.36107554417413573,0.524547803617571,0.40161725067385445,0.839265850945495,3,class_weight_dissatisfied_3_neutral_2
2.0,2.0,1.0,0.5563378320682609,0.6504481434058899,0.5727293091874966,0.3757087982440095,0.330749354005168,0.7392183288409704,0.6482202447163515,3,class_weight_dissatisfied_3_neutral_2
1.0,1.2,1.0,0.5541157586565628,0.7100786537406256,0.5380981021762964,0.32083409548198283,0.2351421188630491,0.5532345013477089,0.8259176863181312,3,class_weight_dissatisfied_3_neutral_2
1.2,1.5,1.0,0.5537802147333882,0.6892262666910555,0.5482829518349215,0.3387598317175782,0.2454780361757106,0.6435309973045822,0.7558398220244716,3,class_weight_dissatisfied_3_neutral_2
1.5,2.0,1.0,0.5419058468975949,0.6511798061093835,0.553207307362258,0.37077007499542713,0.2532299741602067,0.7553908355795148,0.6510011123470523,3,class_weight_dissatisfied_3_neutral_2
1.0,1.5,1.0,0.5386982412246928,0.6886775196634352,0.533314765292205,0.336930674958844,0.19121447028423771,0.6509433962264151,0.7577864293659622,3,class_weight_dissatisfied_3_neutral_2
1.2,2.0,1.0,0.5194480416337788,0.6502652277300165,0.531927587317614,0.36857508688494606,0.17571059431524547,0.7668463611859838,0.6532258064516129,3,class_weight_dissatisfied_3_neutral_2
1.0,2.0,1.0,0.5081396212450314,0.650082312054143,0.5231619162290754,0.3676605085055789,0.1421188630490956,0.7735849056603774,0.6537819799777531,3,class_weight_dissatisfied_3_neutral_2
1.2,1.2,1.0,0.5886210888281139,0.7217852569965246,0.575349353262968,0.30894457655021035,0.3333333333333333,0.5640161725067385,0.8286985539488321,4,class_weight_dissatisfied_3_neutral_2
1.5,1.2,1.0,0.5832743239766344,0.7157490396927016,0.5797302622895244,0.3201024327784891,0.37209302325581395,0.5431266846361186,0.8239710789766407,4,class_weight_dissatisfied_3_neutral_2
1.2,1.0,1.0,0.5818757998317756,0.7263581488933601,0.5677844463181249,0.30894457655021035,0.36175710594315247,0.47035040431266845,0.8712458286985539,4,class_weight_dissatisfied_3_neutral_2
1.5,1.5,1.0,0.5816332544714585,0.6991037131882202,0.5810453378853694,0.330894457655021,0.34366925064599485,0.6361185983827493,0.7633481646273638,4,class_weight_dissatisfied_3_neutral_2
1.0,1.2,1.0,0.57846228038805,0.7217852569965246,0.5609230986062345,0.3069325041156027,0.27906976744186046,0.5727762803234502,0.8309232480533927,4,class_weight_dissatisfied_3_neutral_2
1.0,1.0,1.0,0.5777117558346488,0.7289189683555881,0.5558432329421596,0.30418876897750136,0.30749354005167956,0.48517520215633425,0.874860956618465,4,class_weight_dissatisfied_3_neutral_2
1.5,1.0,1.0,0.5768344173758472,0.7212365099689043,0.573179428042664,0.3202853484543625,0.3979328165374677,0.45619946091644203,0.8654060066740823,4,class_weight_dissatisfied_3_neutral_2
2.0,1.2,1.0,0.5755496835113633,0.7053228461679166,0.5891541135637618,0.34113773550393267,0.4392764857881137,0.5161725067385444,0.8120133481646273,4,class_weight_dissatisfied_3_neutral_2
1.2,1.5,1.0,0.5727546693625066,0.7009328699469545,0.5655268961770603,0.32430949332357784,0.27906976744186046,0.6502695417789758,0.7672413793103449,4,class_weight_dissatisfied_3_neutral_2
2.0,1.5,1.0,0.5716361993479401,0.6886775196634352,0.5862302672000786,0.35174684470459117,0.3979328165374677,0.6071428571428571,0.753615127919911,4,class_weight_dissatisfied_3_neutral_2
2.0,1.0,1.0,0.5691080220281455,0.7111761477958661,0.5838211464702261,0.33912566306932507,0.46770025839793283,0.4305929919137466,0.8531701890989989,4,class_weight_dissatisfied_3_neutral_2
2.5,1.2,1.0,0.5690477600254423,0.6945308212913847,0.5995569722020203,0.3619901225535028,0.5090439276485789,0.4912398921832884,0.7983870967741935,4,class_weight_dissatisfied_3_neutral_2
2.5,1.5,1.0,0.5681428590591983,0.6798975672215108,0.5979166224258402,0.36967258094018657,0.46770025839793283,0.5835579514824798,0.7424916573971079,4,class_weight_dissatisfied_3_neutral_2
1.0,1.5,1.0,0.564478485781255,0.7022132796780685,0.5548469385679908,0.3213828425096031,0.23255813953488372,0.6630727762803235,0.7689098998887653,4,class_weight_dissatisfied_3_neutral_2
