experiment,variant,cv_splits,model,rows,predictors,note,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,train_rows_after_sampling_mean,train_rows_after_sampling_std,macro_f1_delta_vs_main,accuracy_delta_vs_main,balanced_accuracy_delta_vs_main,ordinal_mae_delta_vs_main,same_population_as_main,decision,decision_label
class_weight_threshold_tuning,best_class_weight_nested_threshold,5,Extra Trees,6834,20,Nested inner-fold probability multiplier tuning applied to class_weight_dissatisfied_3_neutral_2.,0.5945157434667269,0.02270637497445652,0.7218317997645827,0.009634747231711047,0.5842912674392433,0.024452103129687312,0.3100660732321474,0.012837002196305394,4.149136059987359,0.32554660672538716,0.08330064000329003,0.015418087750750908,4.232436699990648,0.3197784960024296,5467.2,0.4472135955000088,0.0022017597807967304,-0.0014624151592493861,-0.009465385099015733,-0.003659036845279018,True,APPLIED,APPLIED to final optimized model
complete_case_filter,complete_lighting_sound_ttrend,5,Extra Trees,2314,20,"Rows with originally observed Lighting, Sound, and Ttrend.",0.6014339120646519,0.01663967481723878,0.7018101409030135,0.0162048901826006,0.6032107128254831,0.0205278115132003,0.3318925135339822,0.009831979455772775,1.6018153000040911,0.14685693000610794,0.03683192000025883,0.004165600759154996,1.63864722000435,0.14984791780433887,1851.2,0.4472135954999452,0.009119928378721776,-0.021484074020818533,0.009454060287224064,0.018167403456555764,False,REJECTED,REJECTED after testing
complete_case_filter,complete_main_ieq_sensors,5,Extra Trees,5349,20,"Rows with originally observed Temperature, RH, CO2, Lighting, and Sound.",0.6058922202941611,0.016344790322506634,0.7208835229011303,0.018454418669032087,0.6088885617742534,0.011552189556450905,0.3157581109080895,0.02312148191687789,3.055013879982289,0.08503636463109761,0.06447628001915291,0.0029971394781879274,3.1194901600014417,0.08648812571890643,4279.2,0.4472135955000088,0.013578236608230987,-0.0024106920227017214,0.01513190923599439,0.0020330008306630454,False,REJECTED,REJECTED after testing
feature_engineering,threshold_flags_co2_1000_t18_t24,5,Extra Trees,6834,23,Adds binary CO2 and temperature threshold indicators.,0.5863567508606746,0.025272966181245263,0.7187579860356168,0.004788542565235655,0.5879642249011857,0.031546055211018095,0.3192860149454674,0.0038303374363988073,4.4135446600033905,0.10731105825963753,0.07862371999071911,0.005261780996008271,4.4921683799941095,0.10945920682585009,5467.2,0.4472135955000088,-0.00595723282525551,-0.004536228888215255,-0.005792427637073327,0.00556090486804095,True,REJECTED,REJECTED after testing
missingness_indicators,imputation_indicators,5,Extra Trees,6834,31,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6038507965245057,0.021563562318140897,0.7301716575930663,0.00539986409428584,0.6059046640094773,0.026507404720245133,0.30655494874477995,0.005186157280839763,4.477433339995332,0.03852511911313832,0.0730056400061585,0.0027798380011210756,4.55043898000149,0.040318352003821535,5467.2,0.4472135955000088,0.01153681283857555,0.0068774426692342905,0.012148011471218245,-0.007170161332646474,True,APPLIED,APPLIED to final optimized model
ordinal_classification,ordinal_extra_trees_decomposition,5,Extra Trees,6834,20,Two-threshold ordinal decomposition with fold-internal Extra Trees binary classifiers.,0.5861035905405713,0.020117834857500728,0.7300253518139881,0.0038888557990517953,0.5852879273955536,0.024944635570919325,0.3107982447590721,0.003445052024400806,8.112199840019457,0.8625910757367916,0.14794170000823215,0.012102402733102077,8.26014154002769,0.8594741133225766,5467.2,0.4472135955000088,-0.006210393145358872,0.006731136890156031,-0.008468725142705469,-0.0029268653183543436,True,REJECTED,REJECTED after testing
ordinal_classification,ordinal_random_forest_decomposition,5,Random Forest,6834,20,Two-threshold ordinal decomposition with fold-internal Random Forest binary classifiers.,0.5480128517699988,0.010032209723742332,0.711881828629449,0.0067879209858451245,0.5539200914535676,0.013518662312557729,0.3365499897714481,0.013342938943216096,3.1417465400067157,0.3036968274984709,0.10319059999892488,0.015304455811253325,3.2449371400056406,0.31578876877944145,5467.2,0.4472135955000088,-0.044301131915931324,-0.011412386294383015,-0.03983656108469147,0.022824879694021694,True,REJECTED,REJECTED after testing
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,5,Extra Trees + Random Forest,6834,20,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5938418503262578,0.02388585054646913,0.7244650895774805,0.005267816832389365,0.5949701922737677,0.03119295213539948,0.3132857643191694,0.007658708589658553,6.056228720000945,0.8612176404153689,0.1336033999803476,0.020157971188157174,6.1898321199812925,0.8811488871736195,5467.2,0.4472135955000088,0.0015278666403276686,0.0011708746536484016,0.0012135397355086397,-0.00043934575825704814,True,REJECTED,REJECTED after testing
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,5,Extra Trees + Random Forest,6834,20,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.593337940205861,0.02220571179367028,0.724465196682736,0.005079410317581429,0.5940404493730564,0.029618719449577505,0.31313935143483557,0.008477187095609398,6.056228720000945,0.8612176404153689,0.1336033999803476,0.020157971188157174,6.1898321199812925,0.8811488871736195,5467.2,0.4472135955000088,0.0010239565199308132,0.001170981758903955,0.0002837968347974007,-0.0005857586425908612,True,REJECTED,REJECTED after testing
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,5,Extra Trees + Random Forest,6834,20,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.5933445949278459,0.02242618366089936,0.7238798664611673,0.004838248105326588,0.5941458761473338,0.029760377755025026,0.3132857643191694,0.007831442388556036,6.056228720000945,0.8612176404153689,0.1336033999803476,0.020157971188157174,6.1898321199812925,0.8811488871736195,5467.2,0.4472135955000088,0.0010306112419157243,0.0005856515373352522,0.0003892236090747847,-0.00043934575825704814,True,REJECTED,REJECTED after testing
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,5,Extra Trees + Random Forest,6834,20,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.5928178934603089,0.022752626571382308,0.7235870406924997,0.005869330135934241,0.5937010486013096,0.029869234162144657,0.31357859008783706,0.008607584450122326,6.056228720000945,0.8612176404153689,0.1336033999803476,0.020157971188157174,6.1898321199812925,0.8811488871736195,5467.2,0.4472135955000088,0.0005039097743787524,0.0002928257686676261,-5.560393694947763e-05,-0.00014651998958936652,True,REJECTED,REJECTED after testing
ten_fold_validation,imputation_indicators_10fold,10,Extra Trees,6834,31,Ten-fold sensitivity check for Extra Trees with imputation indicators.,0.6081302749139634,0.03534132555547071,0.7326556386084782,0.016485684121359378,0.6122348994748388,0.03977685858009847,0.30319282833731476,0.016854114314858535,5.182676009996794,0.5660750734500085,0.051744609995512295,0.006717302423149303,5.2344206199923065,0.5657496726808059,6150.6,0.5163977794943561,0.015816291228033297,0.009361423684646097,0.018478246936579734,-0.01053228174011167,True,APPLIED,APPLIED to final optimized model
ten_fold_validation,main_all_school_extra_trees_10fold,10,Extra Trees,6834,20,Ten-fold sensitivity check for the tuned Extra Trees baseline.,0.5957408869220133,0.0368548632022968,0.7244605841103491,0.015320509722936755,0.5977082543027963,0.043042508086502805,0.3128520116787821,0.01705515183084162,4.422115850000409,0.09659540475180058,0.05242620999924839,0.0020671596291785077,4.474542059999658,0.0980197767219907,6150.6,0.5163977794943561,0.0034269032360831897,0.0011663691865170245,0.003951601764537238,-0.0008730983986443008,True,REFERENCE,REFERENCE - baseline or validation check
train_fold_class_balancing,random_oversample_to_50pct_majority,5,Extra Trees,6834,20,Randomly duplicates minority-class training records up to 50 percent of the majority-class count.,0.5910926599003355,0.018570746312636634,0.7165629709284205,0.008593867685601352,0.6001144099032425,0.023434426330100917,0.3248467056029972,0.008292849335690189,5.122604800004046,0.18561453214296794,0.07779952001292259,0.0013983680132549083,5.200404320016969,0.1859203724346831,7192.0,0.0,-0.0012213237855945858,-0.006731243995411584,0.006357757364983452,0.011121595525570793,True,REJECTED,REJECTED after testing
train_fold_class_balancing,synthetic_interpolate_to_50pct_majority,5,Extra Trees,6834,20,Creates fold-internal synthetic minority-class training rows up to 50 percent of the majority-class count.,0.5951763146816283,0.022730629865964438,0.7172955708763673,0.009954880665682207,0.608735778111994,0.02778264806170417,0.32703979281559364,0.016148427187785856,5.479297479998786,0.2248519312732063,0.08317640000022948,0.0023277495451411705,5.562473879999016,0.22671739975004052,7192.0,0.0,0.0028623309956982146,-0.005998644047464752,0.01497912557373493,0.013314682738167216,True,REJECTED,REJECTED after testing
train_fold_class_balancing,synthetic_interpolate_to_majority,5,Extra Trees,6834,20,Creates fold-internal synthetic minority-class training rows up to the majority-class count.,0.5868590306562499,0.012783815244058212,0.7164192356754754,0.010753364547317618,0.5981520273501516,0.017189494360902745,0.3304033262608163,0.01857592336557058,8.590803520008922,0.14806488992603872,0.090246279980056,0.004791891625908444,8.681049799988978,0.14712079387168925,10788.0,0.0,-0.005454953029680243,-0.006874979248356672,0.004395374811892561,0.016678216183389882,True,REJECTED,REJECTED after testing
