multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
2.5,2.0,1.0,0.32023210202983016,0.4706420340223157,0.3016755224114969,0.5798426925187489,0.12144702842377261,0.13814016172506738,0.6454393770856507,3,calibrated_sigmoid_extra_trees
2.0,1.0,1.0,0.3059326218621197,0.6619718309859155,0.35544973408102987,0.4046094750320102,0.06718346253229975,0.0,0.9991657397107898,3,calibrated_sigmoid_extra_trees
2.0,1.2,1.0,0.30584366785719486,0.6616059996341687,0.35526434290564973,0.40497530638375706,0.06718346253229975,0.0,0.9986095661846496,3,calibrated_sigmoid_extra_trees
2.0,1.5,1.0,0.3022341768744075,0.6387415401499908,0.34433700725167865,0.42747393451618804,0.06718346253229975,0.0033692722371967657,0.9624582869855395,3,calibrated_sigmoid_extra_trees
2.0,2.0,1.0,0.2790852375138129,0.46661788915310043,0.27633635322215727,0.5845985000914579,0.041343669250646,0.1408355795148248,0.6468298109010011,3,calibrated_sigmoid_extra_trees
1.5,1.0,1.0,0.2679515480839984,0.6579476861167002,0.3349632906310869,0.4126577647704408,0.00516795865633075,0.0,0.9997219132369299,3,calibrated_sigmoid_extra_trees
1.5,1.2,1.0,0.2678627571981513,0.6575818547649533,0.33477789945570685,0.4130235961221877,0.00516795865633075,0.0,0.9991657397107898,3,calibrated_sigmoid_extra_trees
1.0,1.0,1.0,0.2645187391959984,0.6577647704408268,0.3333333333333333,0.4130235961221877,0.0,0.0,1.0,3,calibrated_sigmoid_extra_trees
1.2,1.0,1.0,0.2645187391959984,0.6577647704408268,0.3333333333333333,0.4130235961221877,0.0,0.0,1.0,3,calibrated_sigmoid_extra_trees
1.0,1.2,1.0,0.26442997461648826,0.65739893908908,0.3331479421579533,0.41338942747393453,0.0,0.0,0.9994438264738599,3,calibrated_sigmoid_extra_trees
1.2,1.2,1.0,0.26442997461648826,0.65739893908908,0.3331479421579533,0.41338942747393453,0.0,0.0,0.9994438264738599,3,calibrated_sigmoid_extra_trees
1.5,1.5,1.0,0.26259274365920837,0.6343515639290287,0.32289654177132393,0.4353393085787452,0.002583979328165375,0.0033692722371967657,0.9627363737486095,3,calibrated_sigmoid_extra_trees
1.0,1.5,1.0,0.26084866720789596,0.6341686482531553,0.3220352153286021,0.4355222242546186,0.0,0.0033692722371967657,0.9627363737486095,3,calibrated_sigmoid_extra_trees
1.2,1.5,1.0,0.26084866720789596,0.6341686482531553,0.3220352153286021,0.4355222242546186,0.0,0.0033692722371967657,0.9627363737486095,3,calibrated_sigmoid_extra_trees
1.0,2.0,1.0,0.2536329658123479,0.46442290104261935,0.2634536027351944,0.587708066581306,0.0,0.14353099730458221,0.6468298109010011,3,calibrated_sigmoid_extra_trees
1.2,2.0,1.0,0.2536329658123479,0.46442290104261935,0.2634536027351944,0.587708066581306,0.0,0.14353099730458221,0.6468298109010011,3,calibrated_sigmoid_extra_trees
1.5,2.0,1.0,0.2536329658123479,0.46442290104261935,0.2634536027351944,0.587708066581306,0.0,0.14353099730458221,0.6468298109010011,3,calibrated_sigmoid_extra_trees
