experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,class_weight,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,1,5,Extra Trees,6834,5467,20,9.367874799994752,0.21654600001056679,9.584420800005319,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.6229557511238033,0.7483540599853694,0.5956387621084979,0.29114850036576445,0.38144329896907214,0.5256064690026954,0.8798665183537263
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,5,Extra Trees,6834,5467,20,9.681577399984235,0.13770260001183487,9.81927999999607,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.5782100948721616,0.7417702999268471,0.5533027370665379,0.2904169714703731,0.26804123711340205,0.49865229110512127,0.8932146829810901
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,3,5,Extra Trees,6834,5467,20,8.417429099994479,0.18480650000856258,8.602235600003041,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.605740082266287,0.7483540599853694,0.5766167115573261,0.28749085588880763,0.32989690721649484,0.5067385444743935,0.8932146829810901
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,4,5,Extra Trees,6834,5467,20,7.802154100005282,0.1510441999998875,7.95319830000517,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.5865660567319841,0.7322604242867593,0.5575790000960158,0.30724213606437456,0.30927835051546393,0.48247978436657685,0.8809788654060067
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,5,5,Extra Trees,6834,5468,20,7.866615600010846,0.15793910002685152,8.024554700037697,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.556547906638274,0.7298682284040996,0.5311734511841549,0.2986822840409956,0.25,0.444743935309973,0.8987764182424917
class_weight_search,class_weight_dissatisfied_3_neutral_2,1,5,Extra Trees,6834,5467,20,7.452704299998004,0.17634340000222437,7.629047700000228,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.63377913367525,0.7468910021945867,0.612964365175374,0.28602779809802487,0.422680412371134,0.555256064690027,0.8609566184649611
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,5,Extra Trees,6834,5467,20,8.087662699981593,0.21167940000304952,8.299342099984642,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.5800632553044128,0.731528895391368,0.5630128104493384,0.3006583760058522,0.30927835051546393,0.5121293800539084,0.8676307007786429
class_weight_search,class_weight_dissatisfied_3_neutral_2,3,5,Extra Trees,6834,5467,20,7.093353999982355,0.16951490001520142,7.262868899997557,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.6161369766978809,0.745427944403804,0.5938289378773834,0.2918800292611558,0.36082474226804123,0.555256064690027,0.8654060066740823
class_weight_search,class_weight_dissatisfied_3_neutral_2,4,5,Extra Trees,6834,5467,20,8.972937199985608,0.14154080001753755,9.114478000003146,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.593905080392465,0.7286027798098025,0.574420444065313,0.30870519385515727,0.3402061855670103,0.5309973045822103,0.8520578420467185
class_weight_search,class_weight_dissatisfied_3_neutral_2,5,5,Extra Trees,6834,5468,20,7.612157099996693,0.14717559999553487,7.759332699992228,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.559302523785037,0.7276720351390923,0.5385041480650857,0.2986822840409956,0.25,0.48787061994609165,0.8776418242491657
