experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
missingness_indicators,imputation_indicators,1,5,Extra Trees,6834,5467,31,4.490665599994827,0.07178090000525117,4.562446500000078,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6339162325582001,0.7366495976591075,0.6401134183718693,0.30724213606437456,,,,,,,,
missingness_indicators,imputation_indicators,2,5,Extra Trees,6834,5467,31,4.41700260003563,0.07157119998009875,4.488573800015729,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6056633657140759,0.733723482077542,0.6129492606396746,0.29992684711046086,,,,,,,,
missingness_indicators,imputation_indicators,3,5,Extra Trees,6834,5467,31,4.478622799972072,0.07419269997626543,4.552815499948338,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6014345438376364,0.7307973664959766,0.5987763636353708,0.3094367227505486,,,,,,,,
missingness_indicators,imputation_indicators,4,5,Extra Trees,6834,5467,31,4.477525599999353,0.07021610002266243,4.547741700022016,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.6051339347455852,0.7264081931236284,0.6107240101606749,0.3130943672275055,,,,,,,,
missingness_indicators,imputation_indicators,5,5,Extra Trees,6834,5468,31,4.5233500999747775,0.07726730004651472,4.600617400021292,"Adds binary flags for predictors that were missing before imputation, plus a per-row missingness count.",0.5731059057670312,0.7232796486090776,0.566960267239797,0.30307467057101023,,,,,,,,
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.6228282099126431,0.7307973664959766,0.6327246421814313,0.3094367227505486,,,,,,,,
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.6170841048299545,0.7278712509144111,0.6265927982748354,0.31236283833211415,,,,,,,,
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.6166214612267927,0.7264081931236284,0.6258512335733152,0.3130943672275055,,,,,,,,
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.6156512911411062,0.7278712509144111,0.6240548447545826,0.3108997805413314,,,,,,,,
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,2,5,Extra Trees + Random Forest,6834,5467,20,5.564375200017821,0.12260689999675378,5.686982100014575,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5975705332639186,0.7264081931236284,0.6018537736905137,0.30724213606437456,,,,,,,,
