model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,1,4,Ttrend,Ttrend,0.4078699199351374,0.40553895380301874,0.0023309661321186392
Logistic regression,1,5,Ttrend,Ttrend,0.4078699199351374,0.4072176243087468,0.0006522956263905755
Logistic regression,1,1,Vote hour,Vote hour,0.4078699199351374,0.4075783410084138,0.0002915789267236013
Logistic regression,1,2,Vote hour,Vote hour,0.4078699199351374,0.40766930317552363,0.00020061675961374759
Logistic regression,1,3,Vote hour,Vote hour,0.4078699199351374,0.40612625293924837,0.001743666995889015
Logistic regression,1,4,Vote hour,Vote hour,0.4078699199351374,0.40360220178920586,0.0042677181459315205
Logistic regression,1,5,Vote hour,Vote hour,0.4078699199351374,0.39824092925522087,0.009628990679916516
Logistic regression,1,1,Vote weekday,Vote weekday,0.4078699199351374,0.3979729056439682,0.009897014291169182
Logistic regression,1,2,Vote weekday,Vote weekday,0.4078699199351374,0.4056604380457481,0.0022094818893892976
Logistic regression,1,3,Vote weekday,Vote weekday,0.4078699199351374,0.4096721216740254,-0.0018022017388880096
Logistic regression,1,4,Vote weekday,Vote weekday,0.4078699199351374,0.39504425220307143,0.012825667732065948
Logistic regression,1,5,Vote weekday,Vote weekday,0.4078699199351374,0.4018626527473088,0.006007267187828569
Logistic regression,1,1,Moment,Moment,0.4078699199351374,0.39253283622016105,0.01533708371497633
Logistic regression,1,2,Moment,Moment,0.4078699199351374,0.39465734117845847,0.013212578756678917
Logistic regression,1,3,Moment,Moment,0.4078699199351374,0.39416289019462764,0.013707029740509746
Logistic regression,1,4,Moment,Moment,0.4078699199351374,0.3862658673594894,0.02160405257564796
Logistic regression,1,5,Moment,Moment,0.4078699199351374,0.39136807869236634,0.016501841242771043
Logistic regression,1,1,AC on/off,AC on/off,0.4078699199351374,0.3932921896308624,0.014577730304275005
Logistic regression,1,2,AC on/off,AC on/off,0.4078699199351374,0.3920482905284309,0.015821629406706506
Logistic regression,1,3,AC on/off,AC on/off,0.4078699199351374,0.40007803570258765,0.007791884232549728
Logistic regression,1,4,AC on/off,AC on/off,0.4078699199351374,0.38610820743427604,0.02176171250086134
Logistic regression,1,5,AC on/off,AC on/off,0.4078699199351374,0.38710138802273497,0.02076853191240241
Logistic regression,2,1,Student,Student,0.3916710857748906,0.359667638592071,0.03200344718281961
Logistic regression,2,2,Student,Student,0.3916710857748906,0.3680522213837911,0.023618864391099503
Logistic regression,2,3,Student,Student,0.3916710857748906,0.37277116994354254,0.01889991583134809
Logistic regression,2,4,Student,Student,0.3916710857748906,0.36018585998505676,0.03148522578983387
