model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Random Forest,LocationBack,LocationBack,0.03219441372173871,0.008392165036719428,0.5823491699439124,0.5501547562221737
Random Forest,LocationLeft,LocationLeft,0.030554360557061386,0.009162407428978616,0.5823491699439124,0.551794809386851
Random Forest,AC on/off,AC on/off,0.029419444409166634,0.008483925087253921,0.5823491699439124,0.5529297255347457
Random Forest,LocationRight,LocationRight,0.025282332538715133,0.010056055347061376,0.5823491699439124,0.5570668374051972
Random Forest,CLO,CLO,0.02497933382821565,0.0076489450864360336,0.5823491699439124,0.5573698361156968
Random Forest,LocationMiddle,LocationMiddle,0.02255405316351606,0.006196173809564053,0.5823491699439124,0.5597951167803964
Random Forest,Temperature,Temperature,0.013033457841443066,0.008929009699615072,0.5823491699439124,0.5693157121024693
Random Forest,RH,RH,0.010023447931072483,0.004893973193932979,0.5823491699439124,0.5723257220128399
Random Forest,Lighting,Lighting,0.008174297267130832,0.0080169705141463,0.5823491699439124,0.5741748726767816
Random Forest,Vote weekday,Vote weekday,0.004169271142525659,0.009738512390284317,0.5823491699439124,0.5781798988013868
Random Forest,Student,Student,0.0014070544538097485,0.003435696821581438,0.5823491699439124,0.5809421154901027
Random Forest,EA,EA,0.00030586852140793044,0.006108893226747378,0.5823491699439124,0.5820433014225045
Random Forest,Vote hour,Vote hour,2.8808521961698475e-06,0.005467214121997249,0.5823491699439124,0.5823462890917163
Random Forest,Sound,Sound,-0.0005543315210526334,0.005123229532017889,0.5823491699439124,0.5829035014649651
Random Forest,CO2,CO2,-0.0009028641249490565,0.009767666059161972,0.5823491699439124,0.5832520340688615
Random Forest,Moment,Moment,-0.0026736140099823612,0.005022863287669424,0.5823491699439124,0.5850227839538947
Random Forest,Ttrend,Ttrend,-0.002689175342760257,0.005405936088810636,0.5823491699439124,0.5850383452866726
Extra Trees,LocationFront,LocationFront,0.07049668604539948,0.014394609075778338,0.5910904944918102,0.5205938084464108
Extra Trees,Gender,Gender,0.05917603208051177,0.01595559107415764,0.5910904944918102,0.5319144624112985
Extra Trees,Age,Age,0.043683953474959306,0.008673523389356189,0.5910904944918102,0.5474065410168509
Extra Trees,LocationBack,LocationBack,0.0376233244876253,0.006868188919271939,0.5910904944918102,0.5534671700041849
Extra Trees,LocationLeft,LocationLeft,0.03590221824468431,0.008326044814298088,0.5910904944918102,0.555188276247126
Extra Trees,LocationMiddle,LocationMiddle,0.030913231665716724,0.011418880123349013,0.5910904944918102,0.5601772628260935
Extra Trees,AC on/off,AC on/off,0.030417610827775925,0.009542446735559785,0.5910904944918102,0.5606728836640343
Extra Trees,CLO,CLO,0.03024426830999526,0.012871049770328987,0.5910904944918102,0.560846226181815
Extra Trees,LocationRight,LocationRight,0.028649737601866603,0.008669796326260233,0.5910904944918102,0.5624407568899437
Extra Trees,Vote weekday,Vote weekday,0.023037106685103174,0.013148812702551037,0.5910904944918102,0.5680533878067071
Extra Trees,Temperature,Temperature,0.013652303115008814,0.012200941470297289,0.5910904944918102,0.5774381913768014
Extra Trees,RH,RH,0.011869482448408677,0.006234267699429549,0.5910904944918102,0.5792210120434016
Extra Trees,Lighting,Lighting,0.011451279106661367,0.007165495974201577,0.5910904944918102,0.5796392153851488
Extra Trees,Student,Student,0.009145737195702046,0.0047410764352433825,0.5910904944918102,0.5819447572961082
Extra Trees,Moment,Moment,0.003983994061587848,0.008664952156627534,0.5910904944918102,0.5871065004302224
Extra Trees,EA,EA,-6.462066007850709e-07,0.0056205489542038856,0.5910904944918102,0.5910911406984111
Extra Trees,Ttrend,Ttrend,-0.0011407603358891416,0.0030659575253059656,0.5910904944918102,0.5922312548276993
Extra Trees,Sound,Sound,-0.0015867176528271897,0.005327469995390705,0.5910904944918102,0.5926772121446374
