feature,repeat,permutation_macro_f1_drop
Sound_was_imputed,2,0.0004010402492575782
Sound_was_imputed,3,0.0012811947947288793
Sound_was_imputed,4,0.0001968869405352125
Sound_was_imputed,5,0.00035084504609028677
Age_was_imputed,1,0.0001674325343824501
Age_was_imputed,2,0.0013395843564263377
Age_was_imputed,3,0.002085205046107319
Age_was_imputed,4,0.0012947177193320947
Age_was_imputed,5,0.0003384267149108
Gender_was_imputed,1,-0.0001171703340223651
Gender_was_imputed,2,0.0010704955775896474
Gender_was_imputed,3,-0.0005094988726068728
Gender_was_imputed,4,0.0011536196037927882
Gender_was_imputed,5,0.0025644304142544705
LocationBack_was_imputed,1,4.3232936082437945e-05
LocationBack_was_imputed,2,0.00017605113324825616
LocationBack_was_imputed,3,4.3232936082437945e-05
LocationBack_was_imputed,4,-6.793107483016314e-05
LocationBack_was_imputed,5,-6.793107483016314e-05
LocationFront_was_imputed,1,4.3232936082437945e-05
LocationFront_was_imputed,2,4.3232936082437945e-05
LocationFront_was_imputed,3,-6.793107483016314e-05
LocationFront_was_imputed,4,4.3232936082437945e-05
LocationFront_was_imputed,5,0.00019352180035314692
LocationLeft_was_imputed,1,4.3232936082437945e-05
LocationLeft_was_imputed,2,4.3232936082437945e-05
LocationLeft_was_imputed,3,4.3232936082437945e-05
LocationLeft_was_imputed,4,4.3232936082437945e-05
LocationLeft_was_imputed,5,-6.793107483016314e-05
LocationMiddle_was_imputed,1,0.00028718230283897306
LocationMiddle_was_imputed,2,4.3232936082437945e-05
LocationMiddle_was_imputed,3,0.00015437166571752314
LocationMiddle_was_imputed,4,0.0002654851435741623
LocationMiddle_was_imputed,5,0.00015437166571752314
Ttrend_was_imputed,1,0.16988767414741401
Ttrend_was_imputed,2,0.1796290508625773
Ttrend_was_imputed,3,0.17869267892533558
Ttrend_was_imputed,4,0.1775155219780601
Ttrend_was_imputed,5,0.18190710391749498
n_imputed_predictors,1,0.024223227696443583
n_imputed_predictors,2,0.02756357222651884
n_imputed_predictors,3,0.025378661953501358
n_imputed_predictors,4,0.025341115038934103
n_imputed_predictors,5,0.02286496471742505
