feature,builtin_importance,builtin_importance_percent,index,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std,shap_mean_abs,shap_importance_percent,permutation_normalized,builtin_normalized,shap_normalized,mean_normalized_importance,shap_sample_rows,shap_sample_note
n_imputed_predictors,0.022757723744006825,2.2757723744006824,30,0.025074308326564588,0.0017295800890550956,0.012972808736367731,3.5304042577140358,0.13355705945428042,0.2492635929390618,0.32062269037971347,0.23448111425768525,1000,stratified deterministic sample from final model dataset
Ttrend_was_imputed,0.02107875940800756,2.107875940800756,27,0.1775264059661764,0.004564048777579063,0.04046129336948683,11.011086749764894,0.9455855949258729,0.23087402605990787,1.0,0.7254865403285935,1000,stratified deterministic sample from final model dataset
Ttrend,0.01672334561487274,1.6723345614872738,26,0.010394238744102457,0.00042522370915069326,0.0017640789598943065,0.4800742844142452,0.05536439704928349,0.18316951470256992,0.0435991737531716,0.09404436183500835,1000,stratified deterministic sample from final model dataset
Lighting_was_imputed,0.0135864226961349,1.3586422696134897,10,0.013779219060248548,0.0008079484783246984,0.007152930965704072,1.946589859577839,0.07339432678641346,0.1488110399142731,0.1767845357879323,0.13299663416287297,1000,stratified deterministic sample from final model dataset
Student,0.01202361763092017,1.2023617630920167,24,0.02524937070214057,0.001038444871768826,0.010549986767137897,2.871060458720586,0.13448952051356472,0.13169375656903629,0.260742697243929,0.17564199144217665,1000,stratified deterministic sample from final model dataset
Gender_was_imputed,0.00901944666130119,0.9019446661301188,8,0.0008323752778015336,0.0012105966808080698,0.0024689797477152695,0.6719051202156436,0.004433605626035782,0.09878930364071324,0.061020781643554844,0.054747896970101295,1000,stratified deterministic sample from final model dataset
Age_was_imputed,0.008572949246880651,0.8572949246880649,2,0.0010450732742318003,0.0007906541369987986,0.0022019635661572707,0.5992396640751992,0.005566530952831248,0.09389885189745514,0.05442148242887961,0.051295621759722,1000,stratified deterministic sample from final model dataset
Sound_was_imputed,0.0024322887522578228,0.24322887522578224,23,0.0005819620946619474,0.0004280589345367441,0.0011096298993978156,0.3019733198053526,0.003099792228149264,0.02664067110897744,0.02742447922425098,0.01905498085379256,1000,stratified deterministic sample from final model dataset
CLO_was_imputed,0.0021892188936263697,0.21892188936263693,4,0.00014004627659809367,0.00020721155199223884,0.00047631355986014535,0.12962338795785044,0.0007459495451025604,0.02397834569457295,0.011772079441715247,0.012165458227130251,1000,stratified deterministic sample from final model dataset
LocationBack_was_imputed,0.0005168444239249774,0.051684442392497726,12,2.5330971150561156e-05,0.00010093704275515162,0.00015783396972538418,0.04295274292977978,0.00013492416125416922,0.00566095711272471,0.0039008631850708923,0.0032322481530165908,1000,stratified deterministic sample from final model dataset
LocationFront_was_imputed,0.0005104150743877633,0.051041507438776314,14,5.105790675405952e-05,9.305647373490169e-05,0.0001672776136904415,0.045522724615327144,0.0002719574075245217,0.005590536943118375,0.004134262643630442,0.0033322523314244464,1000,stratified deterministic sample from final model dataset
LocationLeft_was_imputed,0.0005049687217150825,0.050496872171508236,16,2.1000133899917726e-05,4.971405701042089e-05,0.0001773467225380303,0.04826291954684254,0.00011185617147603424,0.00553088346235393,0.0043831204533805925,0.0033419533624035186,1000,stratified deterministic sample from final model dataset
LocationMiddle_was_imputed,0.0005015012758996472,0.05015012758996471,18,0.0001809287427861239,9.850164441110343e-05,0.00017679794643366069,0.04811357629090083,0.0009637079732195068,0.005492904795770259,0.004369557463701586,0.0036087234108971174,1000,stratified deterministic sample from final model dataset
