multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold
2.0,1.0,1.0,0.585788556227773,0.7169105691056911,0.6026335037184486,0.3357723577235772,0.4896551724137931,0.4784431137724551,0.8398022249690976,4
1.2,1.5,1.0,0.5849695411521015,0.7040650406504065,0.5795400319376024,0.32178861788617885,0.30114942528735633,0.6802395209580838,0.7572311495673671,4
2.5,1.2,1.0,0.5839078929481741,0.7026016260162602,0.6152691533801528,0.3539837398373984,0.5218390804597701,0.5311377245508982,0.7928306551297899,4
2.0,2.0,1.0,0.5777728444607435,0.6624390243902439,0.5966195962932552,0.3645528455284553,0.38850574712643676,0.7425149700598802,0.6588380716934487,4
1.0,1.5,1.0,0.5745061402220114,0.7040650406504065,0.5662526502058894,0.31983739837398373,0.25057471264367814,0.6892215568862275,0.7589616810877626,4
2.5,1.0,1.0,0.5740904669765058,0.7047154471544715,0.6080418223836771,0.35804878048780486,0.5471264367816092,0.4502994011976048,0.826699629171817,4
2.5,2.0,1.0,0.5732120666828392,0.6565853658536586,0.6057298273038908,0.37902439024390244,0.4436781609195402,0.7203592814371258,0.6531520395550062,4
1.5,2.0,1.0,0.565987346984854,0.6647154471544715,0.5749502004756808,0.356260162601626,0.30114942528735633,0.7586826347305389,0.6650185414091471,4
1.2,2.0,1.0,0.5520861917725678,0.6645528455284553,0.5585126097775324,0.3526829268292683,0.23908045977011494,0.7694610778443114,0.6669962917181705,4
1.0,2.0,1.0,0.5367791950483541,0.6637398373983739,0.5446960021959123,0.35235772357723577,0.18850574712643678,0.7778443113772455,0.6677379480840544,4
1.2,1.2,1.0,0.6020789170704653,0.7293123069419607,0.5885047640754407,0.30060152820679564,0.3348623853211009,0.609346914319952,0.8213049925852695,5
1.5,1.2,1.0,0.5999521543053995,0.7247602015932368,0.5970028661882824,0.31051861485937243,0.3830275229357798,0.591372079089275,0.8166089965397924,5
1.0,1.0,1.0,0.5971338095019979,0.7371159161112014,0.5751812491739662,0.2955616972849943,0.3256880733944954,0.5350509286998203,0.8648047454275828,5
1.2,1.0,1.0,0.5969486605293521,0.7345147130547879,0.5811618139227157,0.30060152820679564,0.36009174311926606,0.5200718993409227,0.8633217993079585,5
1.0,1.2,1.0,0.5944942212278483,0.7293123069419607,0.5771867851496496,0.2981629003414079,0.29128440366972475,0.6177351707609346,0.8225407810182896,5
1.5,1.5,1.0,0.5944574927814346,0.7072020809624451,0.594673787788626,0.3214111526581044,0.3463302752293578,0.6806470940683044,0.7570439940682155,5
2.0,1.2,1.0,0.5943922538210057,0.7166314420419444,0.6097402719758845,0.3280767354901642,0.4610091743119266,0.5590173756740563,0.8091942659416708,5
1.5,1.0,1.0,0.5929841179530336,0.7291497317509348,0.589930126656233,0.312144366769631,0.4105504587155963,0.5020970641102457,0.8571428571428571,5
2.0,1.5,1.0,0.5925697134117817,0.7005364981303853,0.6077270624066803,0.33555519427735325,0.4197247706422018,0.6530856800479329,0.750370736529906,5
2.5,1.2,1.0,0.592419320172187,0.709478133636807,0.6258616217803178,0.34368395382864575,0.5435779816513762,0.5344517675254643,0.7995551161641127,5
1.2,1.5,1.0,0.591034970454403,0.7096407088278329,0.5839313240746605,0.31442041944399285,0.2981651376146789,0.6926303175554224,0.7609985170538803,5
2.5,1.5,1.0,0.5896008467989594,0.6933831897252479,0.6208633159487279,0.35132498780686067,0.4954128440366973,0.6237267825044938,0.7434503213049926,5
2.0,1.0,1.0,0.5884928752004054,0.7215086977727199,0.6047701751879612,0.3287270362542676,0.4908256880733945,0.475733972438586,0.8477508650519031,5
1.0,1.5,1.0,0.5810702500559032,0.7091529832547553,0.57281365856878,0.31377011867988946,0.25688073394495414,0.6998202516476932,0.7617399901136925,5
2.5,2.0,1.0,0.579504340911091,0.6655828320598277,0.6100644269015681,0.36725735652739394,0.4334862385321101,0.7345715997603355,0.662135442412259,5
2.5,1.0,1.0,0.5773401762117456,0.7089904080637295,0.6138970147222741,0.34937408551455046,0.5665137614678899,0.4397843019772319,0.8353929807217004,5
2.0,2.0,1.0,0.5750718703318031,0.6693220614534222,0.5937900556022849,0.3579905706389205,0.3577981651376147,0.7567405632115038,0.6668314384577361,5
1.5,2.0,1.0,0.5718240194757415,0.6735490164200943,0.5811516756041966,0.3470980328401886,0.2958715596330275,0.7753145596165368,0.6722689075630253,5
1.2,2.0,1.0,0.5622643633241698,0.6748496179483011,0.5684682304247902,0.34205820191838726,0.24311926605504589,0.7872977831036548,0.6749876421156698,5
1.0,2.0,1.0,0.5473927543794685,0.6735490164200943,0.5554570207486207,0.3418956267273614,0.19724770642201836,0.7938885560215698,0.6752347998022739,5
1.5,1.2,1.0,0.5905408174674815,0.7244350512111851,0.5848897092375264,0.31100634043245,0.3440366972477064,0.5895745955662073,0.8210578348986654,6
1.2,1.2,1.0,0.5897793987831016,0.7284994309868315,0.5761225825609261,0.3019021297350024,0.2981651376146789,0.6039544637507489,0.8262481463173504,6
2.0,1.2,1.0,0.5896283398263179,0.7167940172329702,0.6001553619986145,0.3267761339619574,0.4288990825688073,0.5584182144997004,0.8131487889273357,6
2.5,1.2,1.0,0.5889891043181731,0.710616159973988,0.6153112793607948,0.34173305153633554,0.5045871559633027,0.5368484122228879,0.8044982698961938,6
2.0,1.5,1.0,0.5888844441914024,0.7024874004226955,0.5993348001365798,0.3332791416029914,0.3944954128440367,0.6434991012582385,0.7600098863074641,6
1.5,1.0,1.0,0.588024143613246,0.727849130222728,0.5831019116195147,0.314257844252967,0.38073394495412843,0.5158777711204314,0.8526940187839842,6
1.2,1.0,1.0,0.5874360583001411,0.7328889611445294,0.5712274645868516,0.30320273126320924,0.31880733944954126,0.536249251048532,0.8586258032624815,6
2.0,1.0,1.0,0.5873214349585391,0.7210209721996423,0.5998355043215318,0.32888961144529344,0.46559633027522934,0.49011384062312763,0.8437963420662382,6
1.0,1.0,1.0,0.5862938326026779,0.7348398634368395,0.5645434858910569,0.29832547553243377,0.286697247706422,0.5458358298382265,0.861097380128522,6
1.0,1.2,1.0,0.5840530179904552,0.728987156559909,0.567193649235549,0.2993009266785889,0.26376146788990823,0.609346914319952,0.8284725654967869,6
