model,n_candidates_tested,total_grid_candidates,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,std_fit_time,params_json
Random Forest,288,288,220,0.5681441639457787,0.0168913772118914,0.7175875398029906,0.004256365173297193,0.552592194919383,0.017288756335904397,1.337846326828003,0.0034446374038937,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,164,0.5732146142117818,0.014352568456375276,0.7206611393214454,0.003614968528458983,0.5577700735673314,0.014905746775759038,2.703120470046997,0.03134012964117253,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,44,0.5813806553152777,0.019982954135979836,0.7146607815898918,0.0060899700428017605,0.5777815134929885,0.02357468268077734,1.2100905418395995,0.004874622315235479,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,32,0.5820919027330818,0.014563097085235654,0.7148080513162699,0.00281669111293011,0.578666934493988,0.01878829027988804,2.4388803005218507,0.0066404982892732485,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,11,0.5849673532058767,0.02092848833533328,0.7130523819673307,0.008975779616760266,0.5849838244177472,0.02460721800426318,1.2034616947174073,0.004516091109480884,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,17,0.5840673193081779,0.015587838191523703,0.7140767366313898,0.005837659275379065,0.5843764191519234,0.0193600366988438,2.4045161247253417,0.023822455085416576,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,10,0.585323047215423,0.01660714795276866,0.7142225068841903,0.005211973192504901,0.5875836772345562,0.022342587369482574,1.1845386981964112,0.010294451916973448,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,23,0.5827991129516191,0.01493345981761862,0.7131983664306424,0.005044918220573593,0.5839716794145617,0.019929618879474687,2.3646661758422853,0.019829739178031835,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
Random Forest,288,288,119,0.5752128677441742,0.01598183171162483,0.6952009348146705,0.007126292715715076,0.5955344715229479,0.023066681150422635,1.0873765468597412,0.00564257602190109,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,288,288,184,0.5705286668284693,0.014611260181512488,0.6919822076749484,0.007246522323623545,0.5895838691442419,0.022669127472270935,2.173431396484375,0.012115445977938713,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 600}"
Random Forest,288,288,119,0.5752128677441742,0.01598183171162483,0.6952009348146705,0.007126292715715076,0.5955344715229479,0.023066681150422635,1.0930784702301026,0.005429070060120528,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,288,288,184,0.5705286668284693,0.014611260181512488,0.6919822076749484,0.007246522323623545,0.5895838691442419,0.022669127472270935,2.180562448501587,0.014909386232045298,"{""model__class_weight"": ""balanced"", ""model__criterion"": ""gini"", ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 600}"
