TimeVote,Classroom,ID,Moment,Student,Clothing,Activity,ActivityOther,WindowOpening,ThermalSatisfaction,IAQSatisfaction,AcousticSatisfaction,VisualSatisfaction,DissatisfactionThermal,DissatisfactionThermalOther,DissatisfactionIAQ,DissatisfactionIAQOther,DissatisfactionAcoustic,DissatisfactionAcousticOther,DissatisfactionVisual,DissatisfactionVisualOther,IEQSatisfaction,IEQRemarks,Trm,VOC_Back,CO2_Back,LightLux_Back,RH_Back,SoundLevel_Back,SoundMax_Back,SoundMin_Back,Temp_Back,Time_Back,VOC_Middle,CO2_Middle,LightLux_Middle,RH_Middle,SoundLevel_Middle,SoundMax_Middle,SoundMin_Middle,Temp_Middle,EA_Middle,Trend_T_Middle,Time_Middle,VOC_Front,CO2_Front,LightLux_Front,RH_Front,SoundLevel_Front,SoundMax_Front,SoundMin_Front,Temp_Front,Time_Front,Location_V,Location_H,LocationBack,LocationFront,LocationBlackboard,LocationDoorLeft,LocationDoorRight,LocationMiddleLeft,LocationMiddleMiddle,LocationMiddleRight,LocationWindowLeft,LocationWindowRight,Thermal_Warm,Thermal_Cold,Thermal_Draft,Thermal_Other,IAQ_Stuffy,IAQ_Odour,IAQ_Dry,IAQ_Humid,IAQ_Other,AC_NoiseClassroom,AC_NoiseHallway,AC_NoiseBeamer,AC_OutsideNoise,AC_Other,VIS_BlackboardVisibility,VIS_Underexposure,VIS_Overexposure,VIS_Glare,VIS_Other,Gender,Age
27/04/2021 13:02,A,DB2_25,Start,True,Neutral,Not applicable,,Multiple windows tilted,5,3,4,5,,,,,,,,,5,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,WindowRight,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
27/04/2021 13:02,A,DB2_14,Start,True,Neutral,Not applicable,,Multiple windows tilted,3,5,4,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,MiddleLeft,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 13:02,A,DB2_8,Start,True,Neutral,Not applicable,,Multiple windows tilted,2,3,3,3,Too warm,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,DoorLeft,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 13:02,A,DB2_13,Start,True,Neutral,Other,Beginning course,Multiple windows tilted,4,4,5,5,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,MiddleRight,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 13:02,A,DB2_15,Start,True,Neutral,Passive course,,One window fully open,3,3,3,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,DoorRight,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 13:02,A,DB2_17,Start,True,Neutral,Test,,Multiple windows tilted,2,3,3,2,Too warm,,,,,,Glare,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,MiddleLeft,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,15
27/04/2021 13:02,A,DB2_2,Start,True,Neutral,Passive course,,Multiple windows fully open,1,3,3,3,Too warm,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,MiddleRight,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 13:02,A,DB2_0,Start,True,Neutral,Passive course,,Multiple windows tilted,4,3,3,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,WindowRight,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
27/04/2021 13:02,A,DB2_18,Start,True,Neutral,Passive course,,Multiple windows tilted,2,2,3,3,Too warm,,Too dry,,,,,,2,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,WindowRight,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
27/04/2021 13:02,A,DB2_23,Start,True,Neutral,Not applicable,,Multiple windows tilted,3,3,3,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,WindowLeft,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
27/04/2021 13:02,A,DB2_6,Start,True,Neutral,Other,Break,Multiple windows tilted,3,3,3,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,DoorRight,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 13:02,A,DB2_1,Start,True,Neutral,Other,Beginning course,Multiple windows tilted,3,3,5,5,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Back,MiddleLeft,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
27/04/2021 13:02,A,DB2_12,Start,True,Lightly,Not applicable,,Multiple windows tilted,4,3,4,3,,,,,,,,,3,,14.2,296.101,437,308.859,20.333,58.425,80.175,34.368,23.499,27/04/2021 13:03,266.904,552,473.851,21.151,64.635,83.908,33.638,23.544,33.288,-0.366,27/04/2021 13:02,84.461,506,18.978,20.836,57.826,71.422,40.596,22.717,27/04/2021 13:00,Front,MiddleLeft,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,15
