fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
2,5,CLO,CLO,0.5862843521297402,0.5435802646579574,0.04270408747178278
2,1,CO2,CO2,0.5862843521297402,0.5957976632020817,-0.009513311072341546
2,2,CO2,CO2,0.5862843521297402,0.5905090650632384,-0.0042247129334982425
2,3,CO2,CO2,0.5862843521297402,0.5985954916550539,-0.012311139525313708
2,4,CO2,CO2,0.5862843521297402,0.6024316870823224,-0.01614733495258225
2,5,CO2,CO2,0.5862843521297402,0.5992584514721919,-0.01297409934245175
2,1,Lighting,Lighting,0.5862843521297402,0.5718042473048468,0.01448010482489337
2,2,Lighting,Lighting,0.5862843521297402,0.5756054345404555,0.010678917589284631
2,3,Lighting,Lighting,0.5862843521297402,0.5809633616712553,0.005320990458484887
2,4,Lighting,Lighting,0.5862843521297402,0.5575139711097882,0.028770381019951996
2,5,Lighting,Lighting,0.5862843521297402,0.5643874659675988,0.02189688616214136
2,1,Sound,Sound,0.5862843521297402,0.5928673537744836,-0.006583001644743458
2,2,Sound,Sound,0.5862843521297402,0.598568502870605,-0.012284150740864863
2,3,Sound,Sound,0.5862843521297402,0.5885404274282614,-0.002256075298521232
2,4,Sound,Sound,0.5862843521297402,0.5889144282866935,-0.0026300761569533204
2,5,Sound,Sound,0.5862843521297402,0.5851921556145384,0.0010921965152017599
2,1,Age,Age,0.5862843521297402,0.5376978159684926,0.04858653616124753
2,2,Age,Age,0.5862843521297402,0.5445864724927695,0.04169787963697069
2,3,Age,Age,0.5862843521297402,0.5501393979947768,0.036144954134963325
2,4,Age,Age,0.5862843521297402,0.5341666769791678,0.05211767515057242
2,5,Age,Age,0.5862843521297402,0.5539630987866963,0.03232125334304392
2,1,Gender,Gender,0.5862843521297402,0.5482785644394946,0.03800578769024554
2,2,Gender,Gender,0.5862843521297402,0.5348119621547093,0.0514723899750309
2,3,Gender,Gender,0.5862843521297402,0.517555890398011,0.0687284617317292
2,4,Gender,Gender,0.5862843521297402,0.5401674597490489,0.04611689238069128
2,5,Gender,Gender,0.5862843521297402,0.5160607374375491,0.07022361469219107
2,1,EA,EA,0.5862843521297402,0.5857372567936968,0.0005470953360433572
2,2,EA,EA,0.5862843521297402,0.5894932421477843,-0.0032088900180441415
2,3,EA,EA,0.5862843521297402,0.5927281312713966,-0.006443779141656392
2,4,EA,EA,0.5862843521297402,0.5864688217629395,-0.00018446963319929122
2,5,EA,EA,0.5862843521297402,0.5825492169180242,0.0037351352117159786
2,1,LocationBack,LocationBack,0.5862843521297402,0.535140215000302,0.051144137129438216
2,2,LocationBack,LocationBack,0.5862843521297402,0.5630251391579205,0.023259212971819654
2,3,LocationBack,LocationBack,0.5862843521297402,0.5527501725601661,0.03353417956957405
2,4,LocationBack,LocationBack,0.5862843521297402,0.5491304510630991,0.03715390106664107
2,5,LocationBack,LocationBack,0.5862843521297402,0.532515796479997,0.053768555649743144
2,1,LocationFront,LocationFront,0.5862843521297402,0.5325472872906478,0.05373706483909235
2,2,LocationFront,LocationFront,0.5862843521297402,0.5287468016767379,0.05753755045300224
2,3,LocationFront,LocationFront,0.5862843521297402,0.5203979585875994,0.06588639354214076
