experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
class_weight_search,class_weight_stronger_neutral,1,2,Extra Trees,6834,3417,20,0.16629789999569766,0.014274899993324652,0.18057279998902231,Stronger neutral weight only.,0.5206096176093428,0.713491366695932,0.5080062459074339,0.31431079894644426,"{'dissatisfied': 1, 'neutral': 2.5, 'satisfied': 1}",0.11983471074380166,0.5657327586206896,0.8384512683578104,,,,
class_weight_search,class_weight_stronger_neutral,2,2,Extra Trees,6834,3417,20,0.18387050001183525,0.023761599994031712,0.20763210000586696,Stronger neutral weight only.,0.541170444363349,0.7143693298214808,0.515979393376346,0.3163593795727246,"{'dissatisfied': 1, 'neutral': 2.5, 'satisfied': 1}",0.18181818181818182,0.5102481121898598,0.8558718861209964,,,,
class_weight_search,class_weight_stronger_dissatisfied_neutral,1,2,Extra Trees,6834,3417,20,0.16158509999513626,0.016133799974340945,0.1777188999694772,Stronger dissatisfied and neutral weights.,0.5587615161094036,0.6988586479367866,0.5480593901861442,0.3383084577114428,"{'dissatisfied': 4, 'neutral': 2.5, 'satisfied': 1}",0.30991735537190085,0.5193965517241379,0.8148642634623943,,,,
class_weight_search,class_weight_stronger_dissatisfied_neutral,2,2,Extra Trees,6834,3417,20,0.1736146000039298,0.02080480000586249,0.1944194000097923,Stronger dissatisfied and neutral weights.,0.5641844173725832,0.7047117354404449,0.5475940191957254,0.3289435177055897,"{'dissatisfied': 4, 'neutral': 2.5, 'satisfied': 1}",0.32231404958677684,0.48327939590075514,0.8371886120996441,,,,
class_weight_threshold_tuning,best_class_weight_nested_threshold,1,2,Extra Trees,6834,3417,20,0.160371199977817,0.01973209998686798,0.180103299964685,Nested inner-fold probability multiplier tuning applied to class_weight_dissatisfied_5_neutral_2.,0.5713176867316474,0.7026631548141645,0.5686760809479293,0.33362598770851626,,0.34297520661157027,0.5646551724137931,0.7983978638184246,class_weight_dissatisfied_5_neutral_2,1.2,1.2,1.0
class_weight_threshold_tuning,best_class_weight_nested_threshold,2,2,Extra Trees,6834,3417,20,0.1676362999714911,0.019895600009476766,0.18753189998096786,Nested inner-fold probability multiplier tuning applied to class_weight_dissatisfied_5_neutral_2.,0.5705659117925344,0.6985659935616038,0.5672592177709602,0.3412350014632719,,0.371900826446281,0.5242718446601942,0.8056049822064056,class_weight_dissatisfied_5_neutral_2,1.2,1.2,1.0
alternative_target_two_stage,two_stage_dissatisfied_then_acceptability,1,2,Extra Trees,6834,3417,20,0.36788970002089627,0.034578599996166304,0.4024683000170626,Stage 1 predicts dissatisfied vs not dissatisfied; stage 2 separates neutral from satisfied among non-dissatisfied training rows.,0.5506528308920072,0.7061750073163594,0.5416886408586157,0.33596722270997953,,0.2809917355371901,0.5118534482758621,0.8322207387627948,,,,
alternative_target_two_stage,two_stage_dissatisfied_then_acceptability,2,2,Extra Trees,6834,3417,20,0.2966160000069067,0.034163599979365245,0.33077959998627193,Stage 1 predicts dissatisfied vs not dissatisfied; stage 2 separates neutral from satisfied among non-dissatisfied training rows.,0.5708760046929124,0.7099795141937372,0.5588282848799601,0.3263096283289435,,0.35537190082644626,0.47680690399137,0.844306049822064,,,,
complete_case_filter,complete_main_ieq_sensors,1,2,Extra Trees,5349,2674,20,0.25792649999493733,0.031382599991047755,0.2893090999859851,"Rows with originally observed Temperature, RH, CO2, Lighting, and Sound.",0.5743081834780759,0.6900934579439252,0.5800828538729511,0.3540186915887851,,,,,,,,
complete_case_filter,complete_main_ieq_sensors,2,2,Extra Trees,5349,2675,20,0.24167190000298433,0.02306239999597892,0.26473429999896325,"Rows with originally observed Temperature, RH, CO2, Lighting, and Sound.",0.5715824506750077,0.6982049364248317,0.5678337346471225,0.3410620792819746,,,,,,,,
complete_case_filter,complete_lighting_sound_ttrend,1,2,Extra Trees,2314,1157,20,0.11215820000506938,0.013263500004541129,0.1254217000096105,"Rows with originally observed Lighting, Sound, and Ttrend.",0.560854590796085,0.6707000864304236,0.5653055911499099,0.37683664649956783,,,,,,,,
complete_case_filter,complete_lighting_sound_ttrend,2,2,Extra Trees,2314,1157,20,0.10318110001389869,0.01503680000314489,0.11821790001704358,"Rows with originally observed Lighting, Sound, and Ttrend.",0.5671765722109902,0.6629213483146067,0.5676448633871776,0.37510803802938636,,,,,,,,
train_fold_class_balancing,random_oversample_to_50pct_majority,1,2,Extra Trees,6834,4496,20,0.2717949000070803,0.021747299993876368,0.29354220000095665,Randomly duplicates minority-class training records up to 50 percent of the majority-class count.,0.5670204075968707,0.6953467954345918,0.5783016370708267,0.3526485220954053,,,,,,,,
train_fold_class_balancing,random_oversample_to_50pct_majority,2,2,Extra Trees,6834,4495,20,0.3267645000014454,0.027542299998458475,0.3543067999999039,Randomly duplicates minority-class training records up to 50 percent of the majority-class count.,0.5544763145184387,0.6892010535557507,0.563701750803044,0.3576236464735148,,,,,,,,
train_fold_class_balancing,synthetic_interpolate_to_50pct_majority,1,2,Extra Trees,6834,4496,20,0.30017360000056215,0.021387400018284097,0.32156100001884624,Creates fold-internal synthetic minority-class training rows up to 50 percent of the majority-class count.,0.5726885763497541,0.7020778460637986,0.5856476690218964,0.3494293239683933,,,,,,,,
train_fold_class_balancing,synthetic_interpolate_to_50pct_majority,2,2,Extra Trees,6834,4495,20,0.25642059999518096,0.024194900004658848,0.2806154999998398,Creates fold-internal synthetic minority-class training rows up to 50 percent of the majority-class count.,0.5496847244949757,0.6856892010535558,0.5687406398172543,0.3778167983611355,,,,,,,,
train_fold_class_balancing,synthetic_interpolate_to_majority,1,2,Extra Trees,6834,6744,20,0.428169999999227,0.01590650001890026,0.44407650001812726,Creates fold-internal synthetic minority-class training rows up to the majority-class count.,0.5731285662501798,0.7038337723148961,0.5822486910235569,0.3435762364647352,,,,,,,,
train_fold_class_balancing,synthetic_interpolate_to_majority,2,2,Extra Trees,6834,6741,20,0.3459022000024561,0.014888100005919114,0.3607903000083752,Creates fold-internal synthetic minority-class training rows up to the majority-class count.,0.545594556206397,0.6842259291776412,0.5654249178067938,0.37635352648522097,,,,,,,,
