school_id,room_id,date,time,manuf_id,instr_id,co2_v,temp_v
no-1,11,2023-11-07,17:01,sdanlegg,schneider,385.0,19.9
no-1,11,2023-11-07,18:01,sdanlegg,schneider,404.0,19.6
no-1,11,2023-11-08,06:08,sdanlegg,schneider,405.0,18.2
no-1,11,2023-11-08,07:01,sdanlegg,schneider,4.0,19.9
no-1,11,2023-11-08,08:01,sdanlegg,schneider,721.0,21.4
no-1,11,2023-11-08,09:01,sdanlegg,schneider,778.0,22.4
no-1,11,2023-11-08,10:01,sdanlegg,schneider,711.0,22.4
no-1,11,2023-11-08,11:01,sdanlegg,schneider,653.0,21.7
no-1,11,2023-11-08,12:01,sdanlegg,schneider,401.0,21.9
no-1,11,2023-11-08,13:01,sdanlegg,schneider,397.0,21.9
no-1,11,2023-11-08,14:01,sdanlegg,schneider,591.0,22.6
no-1,11,2023-11-08,15:01,sdanlegg,schneider,390.0,21.4
no-1,11,2023-11-08,16:01,sdanlegg,schneider,386.0,20.6
no-1,11,2023-11-08,17:01,sdanlegg,schneider,406.0,20.0
no-1,11,2023-11-08,18:01,sdanlegg,schneider,394.0,20.0
no-1,11,2023-11-08,19:01,sdanlegg,schneider,385.0,19.6
no-1,11,2023-11-08,20:01,sdanlegg,schneider,380.0,19.3
no-1,11,2023-11-08,21:01,sdanlegg,schneider,385.0,19.1
no-1,11,2023-11-08,22:01,sdanlegg,schneider,380.0,19.0
no-1,11,2023-11-08,23:01,sdanlegg,schneider,388.0,18.9
no-1,11,2023-11-09,00:01,sdanlegg,schneider,391.0,18.8
no-1,11,2023-11-09,01:01,sdanlegg,schneider,382.0,18.6
no-1,11,2023-11-09,02:01,sdanlegg,schneider,379.0,18.6
no-1,11,2023-11-09,03:01,sdanlegg,schneider,380.0,18.5
no-1,11,2023-11-09,04:01,sdanlegg,schneider,381.0,18.5
no-1,11,2023-11-09,05:01,sdanlegg,schneider,367.0,18.4
no-1,11,2023-11-09,06:01,sdanlegg,schneider,367.0,18.3
no-1,11,2023-11-09,07:01,sdanlegg,schneider,375.0,20.1
no-1,11,2023-11-09,08:01,sdanlegg,schneider,760.0,21.7
no-1,11,2023-11-09,09:01,sdanlegg,schneider,739.0,22.6
no-1,11,2023-11-09,10:01,sdanlegg,schneider,652.0,22.2
no-1,11,2023-11-09,11:01,sdanlegg,schneider,769.0,21.8
no-1,11,2023-11-09,12:01,sdanlegg,schneider,704.0,22.6
no-1,11,2023-11-09,13:01,sdanlegg,schneider,559.0,22.1
no-1,11,2023-11-09,14:01,sdanlegg,schneider,428.0,22.0
no-1,11,2023-11-09,15:01,sdanlegg,schneider,520.0,22.3
no-1,11,2023-11-09,16:01,sdanlegg,schneider,403.0,21.1
no-1,11,2023-11-09,17:01,sdanlegg,schneider,398.0,20.4
no-1,11,2023-11-09,18:01,sdanlegg,schneider,385.0,20.3
no-1,11,2023-11-09,19:01,sdanlegg,schneider,375.0,19.8
no-1,11,2023-11-09,20:01,sdanlegg,schneider,380.0,19.9
no-1,11,2023-11-09,21:01,sdanlegg,schneider,384.0,19.4
no-1,11,2023-11-09,22:01,sdanlegg,schneider,375.0,19.4
no-1,11,2023-11-09,23:01,sdanlegg,schneider,382.0,19.3
no-1,11,2023-11-10,00:01,sdanlegg,schneider,389.0,19.2
no-1,11,2023-11-10,01:01,sdanlegg,schneider,382.0,19.0
no-1,11,2023-11-10,02:01,sdanlegg,schneider,377.0,19.0
no-1,11,2023-11-10,03:01,sdanlegg,schneider,366.0,18.9
no-1,11,2023-11-10,04:01,sdanlegg,schneider,383.0,18.9
no-1,11,2023-11-10,05:01,sdanlegg,schneider,382.0,18.8
no-1,11,2023-11-10,06:01,sdanlegg,schneider,371.0,18.7
no-1,11,2023-11-10,07:01,sdanlegg,schneider,378.0,20.1
no-1,11,2023-11-10,08:01,sdanlegg,schneider,594.0,21.2
no-1,11,2023-11-10,09:01,sdanlegg,schneider,807.0,22.5
no-1,11,2023-11-10,10:01,sdanlegg,schneider,772.0,22.7
no-1,11,2023-11-10,11:01,sdanlegg,schneider,662.0,21.9
no-1,11,2023-11-10,12:01,sdanlegg,schneider,676.0,22.4
no-1,11,2023-11-10,13:01,sdanlegg,schneider,555.0,22.1
no-1,11,2023-11-10,14:01,sdanlegg,schneider,388.0,22.0
no-1,11,2023-11-10,15:01,sdanlegg,schneider,384.0,21.2
no-1,11,2023-11-10,16:01,sdanlegg,schneider,382.0,20.6
no-1,11,2023-11-10,17:01,sdanlegg,schneider,393.0,20.1
no-1,11,2023-11-10,18:01,sdanlegg,schneider,405.0,19.9
no-1,11,2023-11-10,19:01,sdanlegg,schneider,396.0,19.7
no-1,11,2023-11-10,20:01,sdanlegg,schneider,395.0,19.6
no-1,11,2023-11-10,21:01,sdanlegg,schneider,381.0,19.4
no-1,11,2023-11-10,22:01,sdanlegg,schneider,388.0,19.3
no-1,11,2023-11-10,23:01,sdanlegg,schneider,388.0,19.2
no-1,11,2023-11-11,00:01,sdanlegg,schneider,384.0,19.1
no-1,11,2023-11-11,01:01,sdanlegg,schneider,375.0,19.0
no-1,11,2023-11-11,02:01,sdanlegg,schneider,381.0,18.9
no-1,11,2023-11-11,03:01,sdanlegg,schneider,381.0,18.8
no-1,11,2023-11-11,04:01,sdanlegg,schneider,375.0,18.7
no-1,11,2023-11-11,05:01,sdanlegg,schneider,388.0,18.7
no-1,11,2023-11-11,06:01,sdanlegg,schneider,381.0,18.6
no-1,11,2023-11-11,07:01,sdanlegg,schneider,398.0,18.5
no-1,11,2023-11-11,08:01,sdanlegg,schneider,383.0,18.5
no-1,11,2023-11-11,09:01,sdanlegg,schneider,393.0,18.4
no-1,11,2023-11-11,10:01,sdanlegg,schneider,377.0,18.4
no-1,11,2023-11-11,11:01,sdanlegg,schneider,383.0,18.3
no-1,11,2023-11-11,12:01,sdanlegg,schneider,375.0,18.3
no-1,11,2023-11-11,13:01,sdanlegg,schneider,377.0,18.3
no-1,11,2023-11-11,14:01,sdanlegg,schneider,385.0,18.2
no-1,11,2023-11-11,15:01,sdanlegg,schneider,385.0,18.2
no-1,11,2023-11-11,16:01,sdanlegg,schneider,380.0,18.1
no-1,11,2023-11-11,17:01,sdanlegg,schneider,387.0,18.0
no-1,11,2023-11-11,18:01,sdanlegg,schneider,385.0,18.0
no-1,11,2023-11-11,19:01,sdanlegg,schneider,375.0,17.9
no-1,11,2023-11-11,20:01,sdanlegg,schneider,367.0,18.7
no-1,11,2023-11-11,21:01,sdanlegg,schneider,376.0,18.3
no-1,11,2023-11-11,22:01,sdanlegg,schneider,378.0,18.0
no-1,11,2023-11-11,23:01,sdanlegg,schneider,372.0,17.9
no-1,11,2023-11-12,00:01,sdanlegg,schneider,380.0,18.1
no-1,11,2023-11-12,01:01,sdanlegg,schneider,361.0,18.5
no-1,11,2023-11-12,02:01,sdanlegg,schneider,407.0,18.0
no-1,11,2023-11-12,03:01,sdanlegg,schneider,379.0,17.9
no-1,11,2023-11-12,04:01,sdanlegg,schneider,378.0,18.6
no-1,11,2023-11-12,05:01,sdanlegg,schneider,373.0,18.3
no-1,11,2023-11-12,06:01,sdanlegg,schneider,384.0,17.9
no-1,11,2023-11-12,07:01,sdanlegg,schneider,387.0,18.7
no-1,11,2023-11-12,08:01,sdanlegg,schneider,382.0,18.2
no-1,11,2023-11-12,09:01,sdanlegg,schneider,375.0,17.9
no-1,11,2023-11-12,10:01,sdanlegg,schneider,372.0,18.6
no-1,11,2023-11-12,11:01,sdanlegg,schneider,377.0,18.0
no-1,11,2023-11-12,12:01,sdanlegg,schneider,384.0,18.6
no-1,11,2023-11-12,13:01,sdanlegg,schneider,383.0,18.1
no-1,11,2023-11-12,14:01,sdanlegg,schneider,382.0,17.8
no-1,11,2023-11-12,15:01,sdanlegg,schneider,379.0,18.3
no-1,11,2023-11-12,16:01,sdanlegg,schneider,370.0,17.8
no-1,11,2023-11-12,17:01,sdanlegg,schneider,383.0,18.3
no-1,11,2023-11-12,18:01,sdanlegg,schneider,383.0,17.8
no-1,11,2023-11-12,19:01,sdanlegg,schneider,385.0,18.2
no-1,11,2023-11-12,20:01,sdanlegg,schneider,380.0,18.2
no-1,11,2023-11-12,21:01,sdanlegg,schneider,382.0,18.0
no-1,11,2023-11-12,22:01,sdanlegg,schneider,382.0,18.5
no-1,11,2023-11-12,23:01,sdanlegg,schneider,374.0,17.9
no-1,11,2023-11-13,00:01,sdanlegg,schneider,373.0,18.6
no-1,11,2023-11-13,01:01,sdanlegg,schneider,382.0,17.8
no-1,11,2023-11-13,02:01,sdanlegg,schneider,373.0,18.4
no-1,11,2023-11-13,03:01,sdanlegg,schneider,377.0,18.3
no-1,11,2023-11-13,04:01,sdanlegg,schneider,383.0,17.8
no-1,11,2023-11-13,05:01,sdanlegg,schneider,374.0,18.3
no-1,11,2023-11-13,06:01,sdanlegg,schneider,393.0,18.9
no-1,11,2023-11-13,07:01,sdanlegg,schneider,387.0,19.6
no-1,11,2023-11-13,08:01,sdanlegg,schneider,451.0,20.3
no-1,11,2023-11-13,09:01,sdanlegg,schneider,781.0,22.0
no-1,11,2023-11-13,10:01,sdanlegg,schneider,392.0,21.4
no-1,11,2023-11-13,11:01,sdanlegg,schneider,391.0,21.3
no-1,11,2023-11-13,12:01,sdanlegg,schneider,852.0,22.1
no-1,11,2023-11-13,13:01,sdanlegg,schneider,567.0,21.9
no-1,11,2023-11-13,14:01,sdanlegg,schneider,385.0,21.6
no-1,11,2023-11-13,15:01,sdanlegg,schneider,386.0,20.8
no-1,11,2023-11-13,16:01,sdanlegg,schneider,380.0,19.9
no-1,11,2023-11-13,17:01,sdanlegg,schneider,385.0,19.2
no-1,11,2023-11-13,18:01,sdanlegg,schneider,392.0,18.8
no-1,11,2023-11-13,19:01,sdanlegg,schneider,400.0,18.5
no-1,11,2023-11-13,20:01,sdanlegg,schneider,425.0,18.3
no-1,11,2023-11-13,21:01,sdanlegg,schneider,420.0,18.1
no-1,11,2023-11-13,22:01,sdanlegg,schneider,411.0,17.9
no-1,11,2023-11-13,23:01,sdanlegg,schneider,403.0,18.1
no-1,11,2023-11-14,00:01,sdanlegg,schneider,396.0,18.3
no-1,11,2023-11-14,01:01,sdanlegg,schneider,395.0,18.0
no-1,11,2023-11-14,02:01,sdanlegg,schneider,384.0,18.3
no-1,11,2023-11-14,03:01,sdanlegg,schneider,387.0,18.2
no-1,11,2023-11-14,04:01,sdanlegg,schneider,388.0,17.8
no-1,11,2023-11-14,05:01,sdanlegg,schneider,384.0,18.6
no-1,11,2023-11-14,06:01,sdanlegg,schneider,372.0,18.0
no-1,11,2023-11-14,07:01,sdanlegg,schneider,380.0,19.6
no-1,11,2023-11-14,08:01,sdanlegg,schneider,588.0,20.8
no-1,11,2023-11-14,09:01,sdanlegg,schneider,782.0,22.3
no-1,11,2023-11-14,10:01,sdanlegg,schneider,783.0,22.3
no-1,11,2023-11-14,11:01,sdanlegg,schneider,728.0,22.1
no-1,11,2023-11-14,12:01,sdanlegg,schneider,853.0,22.6
no-1,11,2023-11-14,13:01,sdanlegg,schneider,693.0,22.6
no-1,11,2023-11-14,14:01,sdanlegg,schneider,582.0,21.9
no-1,11,2023-11-14,15:01,sdanlegg,schneider,379.0,20.8
no-1,11,2023-11-14,16:01,sdanlegg,schneider,383.0,20.1
no-1,11,2023-11-14,17:01,sdanlegg,schneider,387.0,19.8
no-1,11,2023-11-14,18:01,sdanlegg,schneider,379.0,19.3
no-1,11,2023-11-14,19:01,sdanlegg,schneider,386.0,18.8
no-1,11,2023-11-14,20:01,sdanlegg,schneider,380.0,18.6
no-1,11,2023-11-14,21:01,sdanlegg,schneider,381.0,18.4
no-1,11,2023-11-14,22:01,sdanlegg,schneider,377.0,18.2
no-1,11,2023-11-14,23:01,sdanlegg,schneider,389.0,18.0
no-1,11,2023-11-15,00:01,sdanlegg,schneider,382.0,17.8
