model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Random Forest,EA,EA,0.0066684305231885285,0.006671453550201284,0.5897299686744557,0.5830615381512672
Random Forest,Sound,Sound,0.006141356313806869,0.004494795665400201,0.5897299686744557,0.5835886123606489
Random Forest,Student,Student,0.0033924044579525248,0.003525938675325893,0.5897299686744557,0.5863375642165033
Random Forest,Vote hour,Vote hour,0.0031703941487264942,0.005506216598495161,0.5897299686744557,0.5865595745257293
Random Forest,Ttrend,Ttrend,0.002894191814702891,0.0048981087574888355,0.5897299686744557,0.5868357768597529
Random Forest,CO2,CO2,0.002088092993392041,0.010888967245350229,0.5897299686744557,0.5876418756810637
Random Forest,Moment,Moment,7.599319464344667e-05,0.005384263537521679,0.5897299686744557,0.5896539754798124
Extra Trees,LocationFront,LocationFront,0.07556945122251171,0.016238123921566348,0.594899230194315,0.5193297789718033
Extra Trees,Gender,Gender,0.060190123779962204,0.016230826758304475,0.594899230194315,0.5347091064143528
Extra Trees,Age,Age,0.047163882241681936,0.010997219661748955,0.594899230194315,0.5477353479526331
Extra Trees,LocationBack,LocationBack,0.040296034938728235,0.008325333540806189,0.594899230194315,0.5546031952555868
Extra Trees,LocationLeft,LocationLeft,0.03853875862920484,0.009362050778757569,0.594899230194315,0.5563604715651101
Extra Trees,AC on/off,AC on/off,0.03329361443637847,0.010086627997205439,0.594899230194315,0.5616056157579365
Extra Trees,LocationMiddle,LocationMiddle,0.03248955332061749,0.01120038168757076,0.594899230194315,0.5624096768736976
Extra Trees,LocationRight,LocationRight,0.031024385913974856,0.010275790972433202,0.594899230194315,0.5638748442803402
Extra Trees,CLO,CLO,0.030855397194657776,0.014485347500919222,0.594899230194315,0.5640438329996572
Extra Trees,Vote weekday,Vote weekday,0.026736610510329006,0.012570394378807572,0.594899230194315,0.568162619683986
Extra Trees,Temperature,Temperature,0.01657112271370778,0.014229910653807236,0.594899230194315,0.5783281074806073
Extra Trees,RH,RH,0.014999472323067127,0.008276050533966675,0.594899230194315,0.5798997578712479
Extra Trees,Lighting,Lighting,0.014462489011271642,0.008272568144924655,0.594899230194315,0.5804367411830433
Extra Trees,Student,Student,0.008705000471796382,0.005392057753273878,0.594899230194315,0.5861942297225187
Extra Trees,EA,EA,0.005111747237586806,0.0076503282145502696,0.594899230194315,0.5897874829567282
Extra Trees,Moment,Moment,0.0050936764199050535,0.009195987594648309,0.594899230194315,0.5898055537744099
Extra Trees,Sound,Sound,0.0030067289971655686,0.0066981010715799864,0.594899230194315,0.5918925011971494
Extra Trees,CO2,CO2,0.0010941701150256743,0.005054252586166506,0.594899230194315,0.5938050600792893
Extra Trees,Ttrend,Ttrend,0.0006790105049573647,0.004262661960276083,0.594899230194315,0.5942202196893577
Extra Trees,Vote hour,Vote hour,-0.0013714641222601154,0.007314573041920703,0.594899230194315,0.5962706943165751
Gradient boosting,Age,Age,0.08838443148057559,0.018308613875886347,0.49761797841737104,0.4092335469367955
Gradient boosting,AC on/off,AC on/off,0.04197018890785681,0.016064538359056142,0.49761797841737104,0.4556477895095143
Gradient boosting,Gender,Gender,0.03713220466525516,0.010544270216329891,0.49761797841737104,0.4604857737521159
Gradient boosting,Temperature,Temperature,0.036117886143644105,0.016596059947177534,0.49761797841737104,0.461500092273727
Gradient boosting,CLO,CLO,0.02846696690468263,0.014025707922257089,0.49761797841737104,0.4691510115126885
Gradient boosting,LocationFront,LocationFront,0.026351707580676828,0.010075369177472376,0.49761797841737104,0.47126627083669426
Gradient boosting,Lighting,Lighting,0.024300926318919513,0.015377021922524312,0.49761797841737104,0.4733170520984516
Gradient boosting,RH,RH,0.012688955018323561,0.013460485546226964,0.49761797841737104,0.48492902339904753
Gradient boosting,LocationLeft,LocationLeft,0.010948544973298216,0.009789098831032215,0.49761797841737104,0.4866694334440729
Gradient boosting,LocationBack,LocationBack,0.009158588297138299,0.007202418269315502,0.49761797841737104,0.4884593901202328
Gradient boosting,Sound,Sound,0.006810413121721513,0.0062738836000469705,0.49761797841737104,0.49080756529564956
Gradient boosting,Moment,Moment,0.005073465221417304,0.0045408391550712576,0.49761797841737104,0.4925445131959538
Gradient boosting,CO2,CO2,0.0049200192523750205,0.0065450018977294515,0.49761797841737104,0.4926979591649961
Gradient boosting,LocationMiddle,LocationMiddle,0.0029741330950840174,0.007435527218603639,0.49761797841737104,0.49464384532228706
