model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,1,2,LocationLeft,LocationLeft,0.4061541162988429,0.3861271415588314,0.020026974740011527
Logistic regression,1,3,LocationLeft,LocationLeft,0.4061541162988429,0.3845338975746641,0.021620218724178797
Logistic regression,1,4,LocationLeft,LocationLeft,0.4061541162988429,0.3900343584050819,0.016119757893761022
Logistic regression,1,5,LocationLeft,LocationLeft,0.4061541162988429,0.38846773332250795,0.017686382976334958
Logistic regression,1,1,LocationRight,LocationRight,0.4061541162988429,0.3968984744786533,0.00925564182018962
Logistic regression,1,2,LocationRight,LocationRight,0.4061541162988429,0.3979341197670307,0.008219996531812213
Logistic regression,1,3,LocationRight,LocationRight,0.4061541162988429,0.40222430554530186,0.003929810753541041
Logistic regression,1,4,LocationRight,LocationRight,0.4061541162988429,0.3970431822619076,0.009110934036935303
Logistic regression,1,5,LocationRight,LocationRight,0.4061541162988429,0.4024172833917681,0.0037368329070748274
Logistic regression,1,1,LocationMiddle,LocationMiddle,0.4061541162988429,0.3941313894491237,0.012022726849719223
Logistic regression,1,2,LocationMiddle,LocationMiddle,0.4061541162988429,0.3971190273344041,0.009035088964438831
Logistic regression,1,3,LocationMiddle,LocationMiddle,0.4061541162988429,0.4041424054380398,0.0020117108608030954
Logistic regression,1,4,LocationMiddle,LocationMiddle,0.4061541162988429,0.40428181407006586,0.0018723022287770452
Logistic regression,1,5,LocationMiddle,LocationMiddle,0.4061541162988429,0.39780437919592826,0.008349737102914645
Logistic regression,1,1,Ttrend,Ttrend,0.4061541162988429,0.4034557004031531,0.0026984158956898097
Logistic regression,1,2,Ttrend,Ttrend,0.4061541162988429,0.4067741710851806,-0.0006200547863376982
Logistic regression,1,3,Ttrend,Ttrend,0.4061541162988429,0.40490175103930365,0.0012523652595392565
Logistic regression,1,4,Ttrend,Ttrend,0.4061541162988429,0.4010540314485964,0.005100084850246489
Logistic regression,1,5,Ttrend,Ttrend,0.4061541162988429,0.4089703862787403,-0.0028162699798974233
Logistic regression,1,1,Vote hour,Vote hour,0.4061541162988429,0.40841523002427405,-0.002261113725431141
Logistic regression,1,2,Vote hour,Vote hour,0.4061541162988429,0.3988070850311936,0.0073470312676492955
Logistic regression,1,3,Vote hour,Vote hour,0.4061541162988429,0.40019060599512185,0.0059635103037210535
Logistic regression,1,4,Vote hour,Vote hour,0.4061541162988429,0.40031076016450634,0.005843356134336564
Logistic regression,1,5,Vote hour,Vote hour,0.4061541162988429,0.4066085644390776,-0.0004544481402347089
Logistic regression,1,1,Vote weekday,Vote weekday,0.4061541162988429,0.400195594840229,0.005958521458613919
Logistic regression,1,2,Vote weekday,Vote weekday,0.4061541162988429,0.40945664273693166,-0.00330252643808876
Logistic regression,1,3,Vote weekday,Vote weekday,0.4061541162988429,0.4038260465312074,0.002328069767635499
Logistic regression,1,4,Vote weekday,Vote weekday,0.4061541162988429,0.40183942480734314,0.004314691491499767
